time,open,high,low,close
1388625600,23452.76,23469.33,23281.84,23318.8
1388629200,23316.73,23328.84,23186.89,23229.4
1388632800,23228.24,23266.88,23173.93,23249.16
1388636400,23257.85,23262.57,23226.38,23248.02
1388640000,23244.55,23343.98,23223.29,23330.52
1388643600,23330.3,23331.16,23256.74,23275.34
1388647200,23275.82,23346.16,23265.49,23340.05
1388712000,23097.98,23097.98,22915.82,22938.15
1388715600,22938.02,22951.82,22897.73,22941.89
1388719200,22942.19,22943.69,22904.31,22932.53
1388722800,22926.73,22934.47,22883.08,22902.44
1388726400,22903.37,22921.22,22824.85,22852.45
1388730000,22846.06,22874.41,22810.08,22841.81
1388733600,22840.28,22842.48,22782.42,22817.28
1388971200,22732.83,22753.94,22567.77,22614.55
1388974800,22613.93,22648.97,22599.08,22615.97
1388978400,22616.46,22693.75,22615.43,22680.77
1388982000,22684.85,22706.64,22672.02,22672.02
1388985600,22671.1,22686.21,22632.18,22644.29
1388989200,22643.97,22744.37,22637.42,22732.98
1388992800,22732.3,22757.45,22671.43,22684.15
1389057600,22689.25,22766.98,22644.58,22704.42
1389061200,22703.41,22802.85,22698.45,22745.9
1389064800,22748.53,22787.24,22738.44,22762.29
1389068400,22765.61,22770.97,22731.01,22736.01
1389072000,22733.94,22740.35,22687.65,22695
1389075600,22692.79,22723.2,22669.62,22696.64
1389079200,22698.81,22723.8,22684.51,22712.78
1389144000,22834.81,22936.58,22778.83,22888.65
1389147600,22889.91,22921.52,22819.59,22857.33
1389151200,22856.51,22889.8,22851.15,22886.29
1389154800,22890.81,23025.07,22890.81,22989.2
1389158400,22985.94,22994.32,22958.18,22980.76
1389162000,22981.1,23004.88,22968.6,23002.67
1389165600,23000.51,23031.19,22980.47,22996.59
1389230400,22925.23,23000.3,22906.66,22958.02
1389234000,22958.38,23044.97,22939.04,23007.08
1389237600,23009.56,23012.69,22963.98,22969.87
1389241200,22974.01,22987.18,22950.83,22955.62
1389244800,22952.36,22960.29,22910.93,22933.67
1389248400,22935.66,22943.21,22709.03,22753.25
1389252000,22753.37,22797.06,22711.02,22787.33
1389316800,22735.93,22932.21,22726.84,22890.16
1389320400,22891.97,22918.6,22825.44,22858.47
1389324000,22858.56,22896.76,22846.06,22859.37
1389327600,22863.46,22920.73,22855.78,22872.5
1389331200,22872.02,22903.74,22830.85,22830.85
1389334800,22829.59,22893.34,22827.35,22874.86
1389338400,22875.07,22883.87,22834.52,22846.25
1389576000,23046.41,23067.33,22858.07,22879.79
1389579600,22880.45,22889.65,22762.24,22833.98
1389583200,22829.47,22845.04,22807.74,22832.03
1389586800,22831.47,22835.34,22799.7,22820.53
1389590400,22821.28,22853.18,22778.61,22833.05
1389594000,22832.67,22900.94,22824.09,22892.12
1389597600,22893.76,22910.67,22878.76,22888.76
1389662400,22637.55,22787.6,22637.55,22736.48
1389666000,22739.28,22883,22695.55,22841.71
1389669600,22841.35,22864.31,22828.32,22850.88
1389673200,22838.11,22841.07,22772.85,22786.58
1389676800,22784.58,22814,22769.72,22804.99
1389680400,22804.65,22815.33,22749.27,22798.23
1389684000,22797.07,22806.21,22770.29,22791.28
1389748800,22985.78,23010.07,22846.23,22893.48
1389752400,22895.35,22905.87,22826.98,22845.87
1389756000,22847.94,22869.97,22837.09,22862.66
1389759600,22860.17,22878.64,22855.73,22865.84
1389763200,22865.94,22901.3,22863.31,22888.01
1389766800,22885.91,22894.72,22854.5,22887.09
1389770400,22889.37,22935.74,22881.83,22902
1389835200,23085.14,23085.14,22936.74,22993.45
1389838800,22997.08,23003.35,22953.48,22967.5
1389842400,22969.15,22981.66,22953.86,22969.46
1389846000,22963.01,22982.18,22941.21,22982.18
1389849600,22982.85,23014.85,22951.77,22985.04
1389853200,22985.34,23000.24,22949.24,22971.91
1389856800,22972.37,22991.98,22950.17,22986.41
1389921600,22898.48,22958.26,22849.1,22884.66
1389925200,22885.56,23025.08,22868.82,22981.26
1389928800,22981.36,23224.55,22979.36,23179.82
1389932400,23171.43,23263.42,23154.68,23213.54
1389936000,23212.8,23213.85,23156.48,23188.22
1389939600,23187.98,23192.07,23123.06,23129.67
1389943200,23127.21,23142.47,23102.87,23133.35
1390180800,23048.13,23089.24,22964.68,23031.34
1390184400,23032.05,23074.85,23005.88,23031.96
1390188000,23030.18,23036.91,22992.59,23014.76
