Date,<Open>,<High>,<Low>,<Close>
2010-02-01 09:00:00,19930.0,19933.0,19866.0,19919.0
2010-02-01 10:00:00,19920.0,19995.0,19817.0,19925.0
2010-02-01 11:00:00,19927.0,19934.0,19795.0,19851.0
2010-02-01 12:00:00,19848.0,19985.0,19830.0,19968.0
2010-02-01 14:00:00,19968.0,20149.0,19968.0,20110.0
2010-02-01 15:00:00,20107.0,20199.0,20077.0,20189.0
2010-02-01 16:00:00,20190.0,20203.0,20124.0,20124.0
2010-02-02 09:00:00,20338.0,20412.0,20321.0,20404.0
2010-02-02 10:00:00,20404.0,20496.0,20392.0,20400.0
2010-02-02 11:00:00,20400.0,20434.0,20255.0,20280.0
2010-02-02 12:00:00,20281.0,20299.0,20215.0,20243.0
2010-02-02 14:00:00,20245.0,20245.0,20138.0,20179.0
2010-02-02 15:00:00,20180.0,20287.0,20161.0,20213.0
2010-02-02 16:00:00,20214.0,20239.0,20157.0,20164.0
2010-02-03 09:00:00,20449.0,20475.0,20399.0,20399.0
2010-02-03 10:00:00,20400.0,20436.0,20270.0,20414.0
2010-02-03 11:00:00,20413.0,20535.0,20397.0,20491.0
2010-02-03 12:00:00,20492.0,20509.0,20430.0,20494.0
2010-02-03 14:00:00,20494.0,20680.0,20494.0,20667.0
2010-02-03 15:00:00,20666.0,20746.0,20620.0,20680.0
2010-02-03 16:00:00,20681.0,20682.0,20590.0,20593.0
2010-02-04 09:00:00,20438.0,20484.0,20426.0,20428.0
2010-02-04 10:00:00,20427.0,20509.0,20382.0,20482.0
2010-02-04 11:00:00,20482.0,20506.0,20364.0,20385.0
2010-02-04 12:00:00,20382.0,20413.0,20350.0,20352.0
2010-02-04 14:00:00,20354.0,20445.0,20304.0,20343.0
2010-02-04 15:00:00,20342.0,20388.0,20275.0,20306.0
2010-02-04 16:00:00,20307.0,20376.0,20283.0,20343.0
2010-02-05 09:00:00,19720.0,19748.0,19666.0,19702.0
2010-02-05 10:00:00,19702.0,19792.0,19646.0,19685.0
2010-02-05 11:00:00,19686.0,19769.0,19672.0,19755.0
2010-02-05 12:00:00,19754.0,19759.0,19694.0,19695.0
2010-02-05 14:00:00,19694.0,19722.0,19644.0,19714.0
2010-02-05 15:00:00,19714.0,19763.0,19603.0,19626.0
2010-02-05 16:00:00,19625.0,19631.0,19530.0,19540.0
2010-02-08 09:00:00,19658.0,19666.0,19541.0,19543.0
2010-02-08 10:00:00,19540.0,19626.0,19493.0,19540.0
2010-02-08 11:00:00,19539.0,19601.0,19515.0,19576.0
2010-02-08 12:00:00,19576.0,19638.0,19576.0,19587.0
2010-02-08 14:00:00,19587.0,19587.0,19395.0,19418.0
2010-02-08 15:00:00,19416.0,19592.0,19380.0,19516.0
2010-02-08 16:00:00,19515.0,19542.0,19471.0,19515.0
2010-02-09 09:00:00,19441.0,19545.0,19429.0,19532.0
2010-02-09 10:00:00,19534.0,19648.0,19529.0,19547.0
2010-02-09 11:00:00,19544.0,19559.0,19425.0,19521.0
2010-02-09 12:00:00,19519.0,19569.0,19489.0,19565.0
2010-02-09 14:00:00,19568.0,19736.0,19540.0,19721.0
2010-02-09 15:00:00,19721.0,19832.0,19690.0,19731.0
2010-02-09 16:00:00,19732.0,19760.0,19685.0,19754.0
2010-02-10 09:00:00,19852.0,19877.0,19804.0,19829.0
2010-02-10 10:00:00,19828.0,19892.0,19637.0,19726.0
2010-02-10 11:00:00,19727.0,19778.0,19669.0,19740.0
2010-02-10 12:00:00,19741.0,19764.0,19698.0,19739.0
2010-02-10 14:00:00,19739.0,19919.0,19739.0,19903.0
2010-02-10 15:00:00,19903.0,19956.0,19854.0,19892.0
2010-02-10 16:00:00,19894.0,19969.0,19872.0,19958.0
2010-02-11 09:00:00,20018.0,20195.0,20003.0,20164.0
2010-02-11 10:00:00,20165.0,20235.0,20136.0,20192.0
2010-02-11 11:00:00,20189.0,20216.0,20147.0,20180.0
2010-02-11 12:00:00,20180.0,20203.0,20150.0,20182.0
2010-02-11 14:00:00,20182.0,20182.0,20057.0,20063.0
2010-02-11 15:00:00,20065.0,20325.0,20060.0,20274.0
2010-02-11 16:00:00,20275.0,20283.0,20205.0,20205.0
2010-02-12 09:00:00,20200.0,20292.0,20187.0,20275.0
2010-02-12 10:00:00,20272.0,20318.0,20170.0,20296.0
2010-02-12 11:00:00,20296.0,20352.0,20265.0,20334.0
2010-02-12 12:00:00,20336.0,20379.0,20328.0,20351.0
2010-02-12 14:00:00,20351.0,20424.0,20345.0,20379.0
2010-02-12 15:00:00,20382.0,20388.0,20203.0,20274.0
2010-02-12 16:00:00,20278.0,20363.0,20266.0,20332.0
2010-02-17 09:00:00,20590.0,20744.0,20580.0,20720.0
2010-02-17 10:00:00,20720.0,20725.0,20582.0,20645.0
2010-02-17 11:00:00,20644.0,20669.0,20609.0,20635.0
2010-02-17 12:00:00,20635.0,20652.0,20627.0,20650.0
2010-02-17 14:00:00,20650.0,20663.0,20617.0,20636.0
2010-02-17 15:00:00,20640.0,20642.0,20443.0,20524.0
2010-02-17 16:00:00,20524.0,20592.0,20518.0,20591.0
2010-02-18 09:00:00,20530.0,20535.0,20486.0,20517.0
2010-02-18 10:00:00,20517.0,20569.0,20445.0,20507.0
2010-02-18 11:00:00,20507.0,20575.0,20427.0,20545.0
2010-02-18 12:00:00,20544.0,20564.0,20490.0,20523.0
2010-02-18 14:00:00,20525.0,20544.0,20460.0,20523.0
2010-02-18 15:00:00,20521.0,20526.0,20370.0,20374.0
2010-02-18 16:00:00,20373.0,20403.0,20332.0,20345.0
2010-02-19 09:00:00,20315.0,20315.0,20201.0,20202.0
2010-02-19 10:00:00,20201.0,20207.0,19909.0,19951.0
2010-02-19 11:00:00,19948.0,19984.0,19893.0,19893.0
2010-02-19 12:00:00,19893.0,19965.0,19880.0,19939.0
2010-02-19 14:00:00,19939.0,19940.0,19873.0,19905.0
2010-02-19 15:00:00,19903.0,19945.0,19838.0,19856.0
2010-02-19 16:00:00,19856.0,19915.0,19819.0,19912.0
2010-02-22 09:00:00,20422.0,20470.0,20410.0,20460.0
2010-02-22 10:00:00,20459.0,20470.0,20332.0,20366.0
2010-02-22 11:00:00,20368.0,20418.0,20357.0,20399.0
2010-02-22 12:00:00,20399.0,20430.0,20370.0,20423.0
2010-02-22 14:00:00,20424.0,20441.0,20305.0,20330.0
2010-02-22 15:00:00,20328.0,20405.0,20306.0,20390.0
2010-02-22 16:00:00,20391.0,20405.0,20348.0,20404.0
2010-02-23 09:00:00,20268.0,20286.0,20103.0,20116.0
2010-02-23 10:00:00,20114.0,20179.0,20092.0,20149.0
2010-02-23 11:00:00,20153.0,20509.0,20149.0,20456.0
2010-02-23 12:00:00,20456.0,20759.0,20455.0,20660.0
2010-02-23 14:00:00,20661.0,20679.0,20515.0,20646.0
2010-02-23 15:00:00,20645.0,20697.0,20546.0,20651.0
2010-02-23 16:00:00,20652.0,20662.0,20605.0,20660.0
2010-02-24 09:00:00,20260.0,20360.0,20258.0,20353.0
2010-02-24 10:00:00,20355.0,20451.0,20305.0,20383.0
2010-02-24 11:00:00,20385.0,20547.0,20366.0,20443.0
2010-02-24 12:00:00,20443.0,20444.0,20380.0,20384.0
2010-02-24 14:00:00,20390.0,20511.0,20374.0,20492.0
2010-02-24 15:00:00,20490.0,20506.0,20382.0,20431.0
2010-02-24 16:00:00,20429.0,20468.0,20420.0,20460.0
2010-02-25 09:00:00,20525.0,20535.0,20400.0,20458.0
2010-02-25 10:00:00,20458.0,20609.0,20451.0,20486.0
2010-02-25 11:00:00,20486.0,20489.0,20231.0,20269.0
2010-02-25 12:00:00,20270.0,20272.0,20171.0,20221.0
2010-02-25 14:00:00,20221.0,20394.0,20221.0,20259.0
2010-02-25 15:00:00,20261.0,20341.0,20196.0,20318.0
2010-02-25 16:00:00,20320.0,20363.0,20302.0,20339.0
2010-02-26 09:00:00,20450.0,20678.0,20449.0,20645.0
2010-02-26 10:00:00,20645.0,20650.0,20527.0,20612.0
2010-02-26 11:00:00,20610.0,20626.0,20529.0,20613.0
2010-02-26 12:00:00,20614.0,20634.0,20589.0,20625.0
2010-02-26 14:00:00,20626.0,20633.0,20548.0,20576.0
2010-02-26 15:00:00,20577.0,20615.0,20533.0,20574.0
2010-02-26 16:00:00,20575.0,20578.0,20511.0,20537.0
2010-03-01 09:00:00,20761.0,20960.0,20738.0,20903.0
2010-03-01 10:00:00,20903.0,20939.0,20850.0,20899.0
2010-03-01 11:00:00,20900.0,20998.0,20875.0,20979.0
2010-03-01 12:00:00,20978.0,20985.0,20932.0,20976.0
2010-03-01 14:00:00,20977.0,20985.0,20892.0,20937.0
2010-03-01 15:00:00,20937.0,21013.0,20905.0,20994.0
2010-03-01 16:00:00,20994.0,21007.0,20967.0,20983.0
2010-03-02 09:00:00,20890.0,20900.0,20836.0,20860.0
2010-03-02 10:00:00,20861.0,20919.0,20832.0,20883.0
2010-03-02 11:00:00,20883.0,20936.0,20866.0,20889.0
2010-03-02 12:00:00,20890.0,20898.0,20859.0,20866.0
2010-03-02 14:00:00,20861.0,20888.0,20802.0,20862.0
2010-03-02 15:00:00,20862.0,20941.0,20846.0,20889.0
2010-03-02 16:00:00,20889.0,20956.0,20860.0,20940.0
2010-03-03 09:00:00,21028.0,21056.0,20960.0,20965.0
2010-03-03 10:00:00,20966.0,20975.0,20805.0,20936.0
2010-03-03 11:00:00,20936.0,20954.0,20866.0,20884.0
2010-03-03 12:00:00,20884.0,20917.0,20866.0,20890.0
2010-03-03 14:00:00,20890.0,20954.0,20880.0,20888.0
2010-03-03 15:00:00,20886.0,20892.0,20813.0,20857.0
2010-03-03 16:00:00,20856.0,20903.0,20841.0,20893.0
2010-03-04 09:00:00,20917.0,20986.0,20903.0,20976.0
2010-03-04 10:00:00,20974.0,20997.0,20861.0,20865.0
2010-03-04 11:00:00,20866.0,20866.0,20686.0,20753.0
2010-03-04 12:00:00,20753.0,20757.0,20708.0,20736.0
2010-03-04 14:00:00,20735.0,20735.0,20576.0,20618.0
2010-03-04 15:00:00,20617.0,20634.0,20545.0,20576.0
2010-03-04 16:00:00,20575.0,20660.0,20571.0,20616.0
2010-03-05 09:00:00,20840.0,20866.0,20795.0,20817.0
2010-03-05 10:00:00,20817.0,20837.0,20683.0,20690.0
2010-03-05 11:00:00,20690.0,20743.0,20641.0,20720.0
2010-03-05 12:00:00,20719.0,20757.0,20682.0,20726.0
2010-03-05 14:00:00,20728.0,20772.0,20669.0,20690.0
2010-03-05 15:00:00,20692.0,20760.0,20617.0,20748.0
2010-03-05 16:00:00,20747.0,20762.0,20711.0,20725.0
2010-03-08 09:00:00,21100.0,21127.0,21090.0,21106.0
2010-03-08 10:00:00,21106.0,21230.0,21062.0,21172.0
2010-03-08 11:00:00,21173.0,21199.0,21163.0,21177.0
2010-03-08 12:00:00,21177.0,21185.0,21149.0,21171.0
2010-03-08 14:00:00,21171.0,21204.0,21136.0,21196.0
2010-03-08 15:00:00,21196.0,21243.0,21154.0,21169.0
2010-03-08 16:00:00,21169.0,21170.0,21110.0,21116.0
2010-03-09 09:00:00,21125.0,21131.0,21080.0,21103.0
2010-03-09 10:00:00,21101.0,21212.0,21090.0,21176.0
2010-03-09 11:00:00,21176.0,21263.0,21170.0,21219.0
2010-03-09 12:00:00,21220.0,21225.0,21176.0,21189.0
2010-03-09 14:00:00,21190.0,21219.0,21081.0,21094.0
2010-03-09 15:00:00,21093.0,21216.0,21091.0,21183.0
2010-03-09 16:00:00,21185.0,21249.0,21177.0,21235.0
2010-03-10 09:00:00,21259.0,21310.0,21223.0,21299.0
2010-03-10 10:00:00,21299.0,21299.0,21130.0,21181.0
2010-03-10 11:00:00,21181.0,21242.0,21135.0,21228.0
2010-03-10 12:00:00,21227.0,21227.0,21174.0,21195.0
2010-03-10 14:00:00,21194.0,21204.0,21147.0,21200.0
2010-03-10 15:00:00,21200.0,21217.0,21122.0,21174.0
2010-03-10 16:00:00,21173.0,21197.0,21165.0,21194.0
2010-03-11 09:00:00,21312.0,21330.0,21257.0,21306.0
2010-03-11 10:00:00,21307.0,21307.0,21018.0,21055.0
2010-03-11 11:00:00,21057.0,21093.0,20990.0,21026.0
2010-03-11 12:00:00,21025.0,21072.0,21011.0,21062.0
2010-03-11 14:00:00,21062.0,21208.0,21062.0,21184.0
2010-03-11 15:00:00,21185.0,21240.0,21141.0,21170.0
2010-03-11 16:00:00,21171.0,21176.0,21121.0,21127.0
2010-03-12 09:00:00,21236.0,21248.0,21160.0,21165.0
2010-03-12 10:00:00,21163.0,21245.0,21113.0,21201.0
