time,open,high,low,close,Plot,Plot,MACD,Signal
1388625600,23452.8,23469.3,23281.8,23318.8,NaN,NaN,NaN,NaN
1388629200,23316.7,23328.8,23186.9,23229.4,NaN,NaN,NaN,NaN
1388632800,23228.2,23266.9,23173.9,23249.2,NaN,NaN,NaN,NaN
1388636400,23257.9,23262.6,23226.4,23248,NaN,NaN,NaN,NaN
1388640000,23244.5,23344,23223.3,23330.5,NaN,NaN,NaN,NaN
1388643600,23330.3,23331.2,23256.7,23275.3,NaN,NaN,NaN,NaN
1388647200,23275.8,23346.2,23265.5,23309.6,NaN,NaN,NaN,NaN
1388712000,23098,23098,22915.8,22938.2,NaN,NaN,NaN,NaN
1388715600,22938,22951.8,22897.7,22941.9,NaN,NaN,NaN,NaN
1388719200,22942.2,22943.7,22904.3,22932.5,NaN,NaN,NaN,NaN
1388722800,22926.7,22934.5,22883.1,22902.4,NaN,NaN,NaN,NaN
1388726400,22903.4,22921.2,22824.9,22852.5,NaN,NaN,NaN,NaN
1388730000,22846.1,22874.4,22810.1,22841.8,NaN,NaN,NaN,NaN
1388733600,22840.3,22842.5,22782.4,22822.2,NaN,NaN,NaN,NaN
1388971200,22732.8,22753.9,22567.8,22614.5,NaN,NaN,NaN,NaN
1388974800,22613.9,22649,22599.1,22616,NaN,NaN,NaN,NaN
1388978400,22616.5,22693.8,22615.4,22680.8,NaN,NaN,NaN,NaN
1388982000,22684.9,22706.6,22672,22672,NaN,NaN,NaN,NaN
1388985600,22671.1,22686.2,22632.2,22644.3,NaN,NaN,NaN,NaN
1388989200,22644,22744.4,22637.4,22733,NaN,NaN,NaN,NaN
1388992800,22732.3,22757.5,22671.4,22692.1,NaN,NaN,NaN,NaN
1389057600,22689.2,22767,22644.6,22704.4,NaN,NaN,NaN,NaN
1389061200,22703.4,22802.9,22698.5,22745.9,NaN,NaN,NaN,NaN
1389064800,22748.5,22787.2,22738.4,22762.3,NaN,NaN,NaN,NaN
1389068400,22765.6,22771,22731,22736,NaN,NaN,NaN,NaN
1389072000,22733.9,22740.4,22687.7,22695,NaN,NaN,NaN,NaN
1389075600,22692.8,22723.2,22669.6,22696.6,105.3432445112121,NaN,105.3432445112121,NaN
1389079200,22698.8,22723.8,22684.5,22711.1,101.48407973522626,NaN,101.48407973522626,NaN
1389144000,22834.8,22936.6,22778.8,22888.7,89.26094826132976,NaN,89.26094826132976,NaN
1389147600,22889.9,22921.5,22819.6,22857.3,79.94736618598472,NaN,79.94736618598472,NaN
1389151200,22856.5,22889.8,22851.2,22886.3,70.30432737478986,NaN,70.30432737478986,NaN
1389154800,22890.8,23025.1,22890.8,22989.2,57.0568432448199,NaN,57.0568432448199,NaN
1389158400,22985.9,22994.3,22958.2,22980.8,46.11157815308252,NaN,46.11157815308252,NaN
1389162000,22981.1,23004.9,22968.6,23002.7,35.744141811926966,NaN,35.744141811926966,NaN
1389165600,23000.5,23031.2,22980.5,22998.2,27.15742597096323,NaN,27.15742597096323,NaN
1389230400,22925.2,23000.3,22906.7,22958,21.751861093107436,NaN,21.751861093107436,NaN
1389234000,22958.4,23045,22939,23007.1,14.870815406688052,NaN,14.870815406688052,NaN
1389237600,23009.6,23012.7,22964,22969.9,10.827346752630547,NaN,10.827346752630547,NaN
1389241200,22974,22987.2,22950.8,22955.6,8.08435901714256,NaN,8.08435901714256,NaN
1389244800,22952.4,22960.3,22910.9,22933.7,6.781202183301502,NaN,6.781202183301502,NaN
1389248400,22935.7,22943.2,22709,22753.2,13.99894173386565,NaN,13.99894173386565,NaN
1389252000,22753.4,22797.1,22711,22788.5,18.163485132572532,NaN,18.163485132572532,NaN
1389316800,22735.9,22932.2,22726.8,22890.2,16.72255652955573,NaN,16.72255652955573,NaN
1389320400,22892,22918.6,22825.4,22858.5,16.866564131880295,NaN,16.866564131880295,NaN
1389324000,22858.6,22896.8,22846.1,22859.4,16.801221082256234,NaN,16.801221082256234,NaN
1389327600,22863.5,22920.7,22855.8,22872.5,16.00103479300742,NaN,16.00103479300742,NaN
1389331200,22872,22903.7,22830.9,22830.9,17.13364657456259,NaN,17.13364657456259,NaN
1389334800,22829.6,22893.3,22827.4,22874.9,15.884033147060109,NaN,15.884033147060109,NaN
1389338400,22875.1,22883.9,22834.5,22844.2,16.145618505641323,NaN,16.145618505641323,NaN
1389576000,23046.4,23067.3,22858.1,22879.8,14.578887026280427,NaN,14.578887026280427,NaN
1389579600,22880.5,22889.7,22762.2,22834,15.289515545071481,NaN,15.289515545071481,NaN
1389583200,22829.5,22845,22807.7,22832,15.835706847905385,NaN,15.835706847905385,NaN
1389586800,22831.5,22835.3,22799.7,22820.5,16.681655967051483,NaN,16.681655967051483,NaN
1389590400,22821.3,22853.2,22778.6,22833,16.656852464107942,NaN,16.656852464107942,NaN
1389594000,22832.7,22900.9,22824.1,22892.1,13.765044111154566,NaN,13.765044111154566,NaN
1389597600,22893.8,22910.7,22878.8,22901.3,10.854822610952397,NaN,10.854822610952397,NaN
1389662400,22637.5,22787.6,22637.5,22736.5,15.995987158174103,NaN,15.995987158174103,NaN
1389666000,22739.3,22883,22695.5,22841.7,15.211680907723348,NaN,15.211680907723348,NaN
1389669600,22841.4,22864.3,22828.3,22850.9,14.016037711699028,NaN,14.016037711699028,NaN
1389673200,22838.1,22841.1,22772.9,22786.6,15.890480994690733,NaN,15.890480994690733,NaN
1389676800,22784.6,22814,22769.7,22805,16.44231073499759,NaN,16.44231073499759,NaN
1389680400,22804.7,22815.3,22749.3,22798.2,17.070555179914663,NaN,17.070555179914663,NaN
1389684000,22797.1,22806.2,22770.3,22792.7,17.696044912685466,NaN,17.696044912685466,NaN
1389748800,22985.8,23010.1,22846.2,22893.5,13.400996207074058,NaN,13.400996207074058,NaN
1389752400,22895.4,22905.9,22827,22845.9,11.969330282670853,NaN,11.969330282670853,NaN
1389756000,22847.9,22870,22837.1,22862.7,9.919273493494984,NaN,9.919273493494984,NaN
1389759600,22860.2,22878.6,22855.7,22865.8,8.012972565440577,NaN,8.012972565440577,NaN
1389763200,22865.9,22901.3,22863.3,22888,5.357701027198345,NaN,5.357701027198345,NaN
1389766800,22885.9,22894.7,22854.5,22887.1,3.1787373632869276,NaN,3.1787373632869276,NaN
1389770400,22889.4,22935.7,22881.8,22907.1,0.4423701818159316,NaN,0.4423701818159316,NaN
1389835200,23085.1,23085.1,22936.7,22993.5,-5.796606039824837,NaN,-5.796606039824837,NaN
1389838800,22997.1,23003.4,22953.5,22967.5,-9.6579806244481,NaN,-9.6579806244481,NaN
